Genetree,reference1,Mmi-a,Mmi-b,Han-a,Han-b,Sre-a,Sre-b,Cca-a,Cti-a,Eca-a,Cso-a
Asterales_Lsa_chr1_gene819,Lsa1g0819|XP_023765034|(31261222-31267389),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene820,Lsa1g0820|XP_023765037|(31278515-31280278),none,Mmi5g0360|KAD6118984.1|(34968941-34976809),Han2g0396|XP_022012793|(21650226-21654440),none,none,Sre9g2222|Streb.9G022220.1|(47296270-47304460),Cca4g0661|XP_024972803|(16760849-16765253),Cti6g2833|CtAH06T0283300.1|(84652705-84657342),Eca7g0446|XP_043635717|(5479517-5483465),Cso2g0319|KAJ9559733.1|(4601948-4602049)
Asterales_Lsa_chr1_gene821,Lsa1g0821|XP_042755810|(31279999-31289018),none,Mmi5g0361|KAD6118985.1|(35027143-35032681),none,none,Sre2g2320|Streb.2G023200.1|(94987681-94995917),none,Cca4g0662|XP_024973035|(16765392-16773329),none,none,none
Asterales_Lsa_chr1_gene822,Lsa1g0822|XP_023765103|(31297084-31299276),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene823,Lsa1g0823|XP_023765041|(31322318-31325956),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene824,Lsa1g0824|XP_023765042|(31327986-31331164),none,none,Han2g0395|XP_022012787|(21636118-21640645),none,none,Sre9g2220|Streb.9G022200.1|(47260796-47266065),none,Cti6g2832|CtAH06T0283200.1|(84643140-84651389),Eca7g0444|XP_043637573|(5470893-5476704),Cso2g0318|KAJ9559731.1|(4591838-4592242)
Asterales_Lsa_chr1_gene825,Lsa1g0825|XP_023765104|(31334182-31335326),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene826,Lsa1g0826|XP_023765044|(31361097-31366106),none,Mmi5g0371|KAD6118995.1|(35931160-35938049),none,Han4g0651|XP_021981996|(24968137-24974194),none,Sre9g2219|Streb.9G022190.1|(47209835-47215833),none,none,Eca7g0443|XP_043635834|(5453880-5460314),none
Asterales_Lsa_chr1_gene827,Lsa1g0827|XP_023765048|(31423614-31432836),Mmi18g2151|KAD2806045.1|(90572429-90578511),Mmi11g1145|KAD4889013.1|(36772691-36776673),Han2g0392|XP_022012780|(21511433-21525318),none,Sre2g5047|Streb.2G050470.1|(162205489-162209440),Sre9g2217|Streb.9G022170.1|(46987338-46999216),Cca4g0663|XP_024972199|(16782445-16796123),Cti6g2829|CtAH06T0282900.1|(84537708-84553418),Eca7g0441|XP_043636216|(5422869-5433894),Cso2g0317|KAJ9559637.1|(4577667-4577691)
Asterales_Lsa_chr1_gene828,Lsa1g0828|XP_042755823|(31446167-31453339),none,none,Han2g0391|XP_022012767|(21488773-21507777),none,none,Sre9g2216|Streb.9G022160.1|(46823518-46830362),Cca4g0664|XP_024972378|(16803102-16817881),Cti6g2828|CtAH06T0282800.1|(84511639-84528184),Eca7g0440|XP_043637701|(5388460-5399465),Cso2g0315|KAJ9559639.1|(4526577-4526706)
Asterales_Lsa_chr1_gene829,Lsa1g0829|XP_023765050|(31483122-31486667),none,Mmi5g0296|KAD6118920.1|(24823392-24833894),Han2g0390|XP_022012754|(21475932-21481549),none,none,Sre9g2215|Streb.9G022150.1|(46819429-46822946),Cca4g0665|XP_024971833|(16818353-16822069),none,Eca7g0438|XP_043636020|(5370137-5373767),Cso2g0314|KAJ9559635.1|(4492196-4492328)
Asterales_Lsa_chr1_gene830,Lsa1g0830|XP_023765051|(31492827-31494864),none,none,Han2g0389|XP_022012725|(21468065-21471886),none,Sre2g6217|Streb.2G062170.1|(179855842-179857165),Sre9g2214|Streb.9G022140.1|(46811252-46812714),Cca4g0666|XP_024972708|(16823234-16826882),Cti6g2826|CtAH06T0282600.1|(84495301-84501260),none,none
Asterales_Lsa_chr1_gene831,Lsa1g0831|XP_023765052|(31500615-31502606),none,none,Han2g0388|XP_022012709|(21453049-21454812),none,none,Sre9g2212|Streb.9G022120.1|(46749423-46751069),Cca4g0667|XP_024973140|(16836522-16839724),Cti6g2825|CtAH06T0282500.1|(84491723-84494367),Eca7g0436|XP_043637292|(5341620-5343501),Cso2g0313|KAJ9559636.1|(4480520-4481089)
Asterales_Lsa_chr1_gene832,Lsa1g0832|XP_023765055|(31585472-31589523),Mmi18g2155|KAD2806049.1|(90628601-90633857),none,Han2g0385|XP_022012540|(21019814-21026929),none,none,Sre9g2209|Streb.9G022090.1|(46642949-46649908),Cca4g0669|XP_024972677|(16870066-16880368),Cti6g2822|CtAH06T0282200.1|(84452370-84460399),Eca7g0433|XP_043635855|(5309046-5316988),Cso2g0310|KAJ9559523.1|(4446801-4446919)
Asterales_Lsa_chr1_gene833,Lsa1g0833|XP_023765054|(31589690-31592612),none,none,none,Han4g0643|XP_022034007|(24594886-24602985),Sre2g2321|Streb.2G023210.1|(94999532-95006006),none,Cca4g0670|XP_024973249|(16881741-16890878),Cti6g2821|CtAH06T0282100.1|(84438965-84448878),Eca7g0432|XP_043636505|(5300180-5306095),Cso2g0309|KAJ9559521.1|(4424182-4424318)
Asterales_Lsa_chr1_gene834,Lsa1g0834|XP_023765056|(31596953-31600199),none,none,Han2g0384|XP_035835578|(21014714-21019754),none,none,Sre9g2207|Streb.9G022070.1|(46594061-46598321),Cca4g0671|XP_024973339|(16900333-16906353),Cti6g2819|CtAH06T0281900.1|(84418635-84425779),Eca7g0431|XP_043637835|(5289780-5298089),none
Asterales_Lsa_chr1_gene835,Lsa1g0835|XP_023765060|(31638207-31643380),none,none,Han2g0381|XP_022012583|(20945828-20952092),none,Sre2g6216|Streb.2G062160.1|(179842793-179846909),none,Cca4g0672|XP_024972178|(16912566-16919500),Cti6g2818|CtAH06T0281800.1|(84403914-84411087),Eca7g0430|XP_043637325|(5280341-5286376),Cso2g0304|KAJ9559559.1|(4370024-4370591)
Asterales_Lsa_chr1_gene836,Lsa1g0836|XP_023764911|(31823764-31825657),Mmi12g1692|KAD4585639.1|(57600711-57601286),none,Han2g0379|XP_021990761|(20762034-20762543),none,Sre2g6215|Streb.2G062150.1|(179774555-179776175),Sre9g2205|Streb.9G022050.1|(46437831-46442887),Cca4g0673|XP_024972061|(16930877-16931464),none,none,Cso2g0303|KAJ9559556.1|(4352963-4353604)
Asterales_Lsa_chr1_gene837,Lsa1g0837|XP_023764912|(31901605-31902691),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene838,Lsa1g0838|XP_023765061|(31905787-31906612),none,Mmi11g1158|KAD4889026.1|(37131907-37143287),none,none,Sre2g6213|Streb.2G062130.1|(179684207-179684744),none,Cca4g0675|XP_024972749|(16955005-16955751),Cti6g2814|CtAH06T0281400.1|(84349575-84350418),none,Cso2g0301|KAJ9559557.1|(4319047-4319190)
Asterales_Lsa_chr1_gene839,Lsa1g0839|XP_023765062|(31939032-31942385),Mmi18g2159|KAD2806053.1|(90770002-90779581),Mmi11g1159|KAD4889027.1|(37174107-37176013),Han2g0378|XP_022012596|(20630304-20634723),none,none,Sre9g2203|Streb.9G022030.1|(46095823-46100396),Cca4g0677|XP_024973388|(16964615-16969577),Cti6g2812|CtAH06T0281200.1|(84320949-84327307),Eca7g0410|XP_043635669|(5080776-5084291),Cso2g0300|KAJ9559561.1|(4313582-4314158)
Asterales_Lsa_chr1_gene840,Lsa1g0840|XP_042755835|(31963363-31973022),none,none,none,none,none,none,none,none,Eca7g0411|XP_043637825|(5085544-5089246),none
Asterales_Lsa_chr1_gene841,Lsa1g0841|XP_023765105|(31976159-31976533),none,Mmi5g0314|KAD6118938.1|(28536348-28536749),none,Han4g0636|XP_022032004|(24103815-24104192),none,Sre9g2202|Streb.9G022020.1|(46068791-46069364),none,none,none,Cso2g0299|KAJ9559558.1|(4307359-4307754)
Asterales_Lsa_chr1_gene842,Lsa1g0842|XP_042755838|(31977179-31997130),none,Mmi11g1162|KAD4889030.1|(37242491-37246055),none,none,none,none,Cca4g0679|XP_024973427|(16976387-16981880),Cti6g2811|CtAH06T0281100.1|(84307124-84312961),none,Cso2g0298|KAJ9559560.1|(4304931-4304957)
Asterales_Lsa_chr1_gene843,Lsa1g0843|XP_023765067|(31997108-31997854),none,none,Han2g0377|XP_022012605|(20625845-20626596),none,none,Sre9g2199|Streb.9G021990.1|(45960138-45960696),Cca4g0680|XP_024972063|(16982312-16982728),none,Eca7g0413|XP_043635878|(5135183-5135870),none
Asterales_Lsa_chr1_gene844,Lsa1g0844|XP_023765066|(31998195-32000306),none,Mmi5g0317|KAD6118941.1|(28788397-28790738),Han2g0376|XP_022012614|(20622173-20624193),none,none,Sre9g2198|Streb.9G021980.1|(45956637-45958689),Cca4g0681|XP_024973004|(16985123-16987049),none,Eca7g0414|XP_043635877|(5137025-5139009),none
Asterales_Lsa_chr1_gene845,Lsa1g0845|XP_023765107|(32022371-32023506),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene846,Lsa1g0846|XP_023765070|(32033556-32036645),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene847,Lsa1g0847|XP_023765108|(32151985-32154467),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene848,Lsa1g0848|XP_023765109|(32184461-32185396),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene849,Lsa1g0849|XP_023765075|(32186697-32188112),none,Mmi11g1169|KAD4889037.1|(37328678-37329595),Han2g0375|XP_035835548|(20546511-20547767),none,Sre2g6204|Streb.2G062040.1|(179552528-179553301),Sre9g2194|Streb.9G021940.1|(45816850-45818826),none,none,Eca7g0420|XP_043637471|(5178683-5179906),none
Asterales_Lsa_chr1_gene850,Lsa1g0850|XP_023765111|(32208331-32210091),none,none,Han2g0373|XP_021988838|(20005966-20007738),none,none,Sre9g2193|Streb.9G021930.1|(45796771-45798543),Cca4g0683|XP_024972064|(17016104-17017876),none,Eca7g0421|XP_043637832|(5183570-5185255),none
Asterales_Lsa_chr1_gene851,Lsa1g0851|XP_023765076|(32210792-32212869),Mmi12g1691|KAD4585638.1|(57350478-57351710),none,none,Han4g0633|XP_022034017|(24074320-24077487),none,none,Cca4g0685|XP_024973065|(17027403-17028952),Cti6g2803|CtAH06T0280300.1|(84235097-84238561),Eca7g0408|XP_043637067|(5072513-5075079),none
Asterales_Lsa_chr1_gene852,Lsa1g0852|XP_023765078|(32230713-32232653),none,none,Han2g0368|XP_022010279|(19764401-19766713),none,none,Sre9g2162|Streb.9G021620.1|(44532550-44536356),Cca4g0686|XP_024973324|(17037060-17038669),Cti6g2801|CtAH06T0280100.1|(84223025-84225798),Eca7g0424|XP_043635902|(5226165-5227905),none
Asterales_Lsa_chr1_gene853,Lsa1g0853|XP_023764914|(32325482-32327304),none,none,Han2g0365|XP_022012409|(19422454-19424326),none,none,Sre9g2191|Streb.9G021910.1|(45658482-45661121),Cca4g0687|XP_024973119|(17043029-17044666),Cti6g2800|CtAH06T0280000.1|(84204932-84206937),Eca7g0425|XP_043635903|(5231215-5232958),none
Asterales_Lsa_chr1_gene854,Lsa1g0854|XP_023765079|(32420978-32423087),none,none,Han2g0362|XP_022012400|(19320677-19322731),none,none,Sre9g2190|Streb.9G021900.1|(45558629-45571802),Cca4g0690|XP_024972317|(17058253-17059915),Cti6g2799|CtAH06T0279900.1|(84187992-84195197),Eca7g0407|XP_043636705|(5063006-5065575),Cso2g0295|KAJ9559482.1|(4198238-4199140)
Asterales_Lsa_chr1_gene855,Lsa1g0855|XP_023733573|(32519335-32523379),none,none,Han2g0323|XP_022012095|(16627129-16636253),none,none,Sre9g2145|Streb.9G021450.1|(43943058-43947958),Cca4g0714|XP_024972509|(17298203-17306745),Cti6g2766|CtAH06T0276600.1|(83680895-83690343),Eca7g0360|XP_043637649|(4629562-4635188),Cso2g0253|KAJ9559528.1|(3751205-3751263)
Asterales_Lsa_chr1_gene856,Lsa1g0856|XP_042755869|(32523478-32526466),none,none,Han2g0324|XP_022012112|(16637580-16644526),none,none,none,Cca4g0713|XP_024971897|(17291120-17296757),Cti6g2767|CtAH06T0276700.1|(83692920-83699385),Eca7g0361|XP_043636702|(4638680-4645192),Cso2g0254|KAJ9559532.1|(3770450-3771049)
Asterales_Lsa_chr1_gene857,Lsa1g0857|XP_023733593|(32566755-32567938),none,Mmi5g0240|KAD6118864.1|(16006208-16009672),Han2g0325|XP_022012120|(16646890-16647727),none,none,Sre9g2176|Streb.9G021760.1|(45230043-45231753),Cca4g0712|XP_024972077|(17283963-17284793),Cti6g2768|CtAH06T0276800.1|(83700522-83702306),Eca7g0363|XP_043637532|(4652067-4653067),Cso2g0255|KAJ9559533.1|(3776657-3777187)
Asterales_Lsa_chr1_gene858,Lsa1g0858|XP_023733568|(32583926-32587370),none,Mmi5g0242|KAD6118866.1|(16368859-16377314),Han2g0326|XP_035835409|(16748575-16763335),none,none,Sre9g2149|Streb.9G021490.1|(44034242-44042029),Cca4g0711|XP_024973189|(17266866-17274335),Cti6g2769|CtAH06T0276900.1|(83718322-83724851),Eca7g0365|XP_043637147|(4661479-4668748),Cso2g0257|KAJ9559580.1|(3794310-3794420)
Asterales_Lsa_chr1_gene859,Lsa1g0859|XP_023733555|(32626006-32627948),Mmi12g1683|KAD4585630.1|(56865240-56866889),none,none,Han4g0584|XP_022033966|(21589338-21591314),none,none,Cca4g0708|XP_024972076|(17242232-17244074),none,Eca7g0369|XP_043637814|(4716930-4718582),Cso2g0259|KAJ9559574.1|(3813734-3814247)
Asterales_Lsa_chr1_gene860,Lsa1g0860|XP_023733588|(32630765-32631999),Mmi18g2176|KAD2806070.1|(91069836-91071950),none,Han2g0328|XP_022012049|(16784889-16787805),none,Sre2g5067|Streb.2G050670.1|(162451747-162453617),Sre9g2151|Streb.9G021510.1|(44092740-44094574),none,Cti6g2771|CtAH06T0277100.1|(83758348-83761514),none,Cso2g0260|KAJ9559576.1|(3818543-3818694)
Asterales_Lsa_chr1_gene861,Lsa1g0861|XP_023733558|(32649419-32650480),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene862,Lsa1g0862|XP_023733559|(32652697-32653455),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene863,Lsa1g0863|XP_023733594|(32672620-32674146),none,none,Han2g0329|XP_035835418|(16793617-16797040),Han4g0583|XP_022033967|(21582236-21588518),none,none,none,Cti6g2772|CtAH06T0277200.1|(83763374-83768517),Eca7g0373|XP_043636795|(4747868-4751478),Cso2g0261|KAJ9559579.1|(3825870-3825908)
Asterales_Lsa_chr1_gene864,Lsa1g0864|XP_023733560|(32676625-32677156),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene865,Lsa1g0865|XP_023733561|(32677907-32678665),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene866,Lsa1g0866|XP_023733592|(32681313-32685553),none,none,none,none,none,none,Cca4g0706|XP_024973375|(17220976-17230279),Cti6g2773|CtAH06T0277300.1|(83788309-83797058),Eca7g0374|XP_043637142|(4756639-4763687),Cso2g0262|KAJ9559575.1|(3840333-3841200)
Asterales_Lsa_chr1_gene867,Lsa1g0867|XP_023733562|(32693500-32694186),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene868,Lsa1g0868|XP_023733563|(32945070-32947336),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene869,Lsa1g0869|XP_023733564|(32960824-32961522),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene870,Lsa1g0870|XP_023733586|(32973909-32978844),Mmi12g1679|KAD4585626.1|(56441037-56451948),none,none,Han4g0582|XP_022033968|(21570233-21578114),none,none,Cca4g0707|XP_024972976|(17233202-17240725),none,none,none
Asterales_Lsa_chr1_gene871,Lsa1g0871|XP_023733579|(33066226-33067915),Mmi12g1677|KAD4585624.1|(56381491-56383214),none,Han2g0340|XP_022012194|(18203728-18206743),Han4g0579|XP_022033969|(21363455-21366773),none,none,Cca4g0705|XP_024973014|(17203233-17205300),Cti6g2774|CtAH06T0277400.1|(83827899-83830853),Eca7g0375|XP_043635698|(4779826-4782153),Cso2g0263|KAJ9559577.1|(3863434-3863559)
Asterales_Lsa_chr1_gene872,Lsa1g0872|XP_023733587|(33080933-33082518),none,Mmi11g1179|KAD4889047.1|(37512079-37514334),Han2g0341|XP_022012204|(18315767-18319541),none,none,Sre9g2156|Streb.9G021560.1|(44270821-44277093),Cca4g0703|XP_024972074|(17179242-17180692),none,Eca7g0377|XP_043636727|(4797087-4798740),none
Asterales_Lsa_chr1_gene873,Lsa1g0873|XP_023733590|(33097098-33099551),none,Mmi5g0255|KAD6118879.1|(18642661-18644782),Han2g0344|XP_022004743|(18445989-18447806),none,none,Sre9g2157|Streb.9G021570.1|(44353827-44361214),Cca4g0701|XP_024972191|(17165348-17166961),none,Eca7g0378|XP_043636950|(4799264-4800763),none
Asterales_Lsa_chr1_gene874,Lsa1g0874|XP_023733566|(33122785-33124979),Mmi12g1674|KAD4585621.1|(56259609-56261355),none,Han2g0347|XP_022012230|(18720423-18723471),none,none,none,Cca4g0700|XP_024972071|(17161672-17162889),Cti6g2775|CtAH06T0277500.1|(83849731-83851342),Eca7g0382|XP_043637820|(4836979-4838773),Cso2g0276|KAJ9559914.1|(3934426-3935145)
Asterales_Lsa_chr1_gene875,Lsa1g0875|XP_023733570|(33151897-33154313),Mmi12g1673|KAD4585620.1|(56247910-56256812),none,none,Han4g0625|XP_035845454|(23732823-23751046),none,none,Cca4g0698|XP_024972404|(17143597-17147896),Cti6g2786|CtAH06T0278600.1|(83987704-83993536),Eca7g0383|XP_043636598|(4841005-4845089),Cso1g4285|KAJ9568168.1|(106980630-106980931)
Asterales_Lsa_chr1_gene876,Lsa1g0876|XP_023733569|(33154398-33157840),none,Mmi5g0259|KAD6118883.1|(19007978-19015210),Han2g0349|XP_035835488|(18748945-18753272),none,none,Sre9g2158|Streb.9G021580.1|(44368165-44375584),none,Cti6g2785|CtAH06T0278500.1|(83980405-83987463),Eca7g0379|XP_043637818|(4805792-4810210),Cso2g0283|KAJ9559877.1|(3990276-3990436)
Asterales_Lsa_chr1_gene877,Lsa1g0877|XP_023733589|(33169854-33171925),Mmi12g1670|KAD4585617.1|(56044816-56046717),Mmi5g0279|KAD6118903.1|(22514911-22516830),Han2g0350|XP_022012245|(18755116-18757155),Han4g0626|XP_022033979|(23802708-23804788),Sre2g5072|Streb.2G050720.1|(162539300-162541382),Sre9g2159|Streb.9G021590.1|(44387969-44389987),Cca4g0697|XP_024972402|(17133528-17135511),Cti6g2787|CtAH06T0278700.1|(84013133-84015046),Eca7g0384|XP_043635254|(4852457-4855415),Cso2g0284|KAJ9559884.1|(4008237-4008263)
Asterales_Lsa_chr1_gene878,Lsa1g0878|XP_023733580|(33188746-33190684),Mmi12g1669|KAD4585616.1|(56032569-56034080),none,none,Han4g0627|XP_022033976|(23811043-23812788),none,none,Cca4g0696|XP_024972069|(17128831-17130513),Cti6g2788|CtAH06T0278800.1|(84019206-84020867),Eca7g0395|XP_043635300|(4967441-4969084),Cso2g0285|KAJ9559881.1|(4012689-4014350)
Asterales_Lsa_chr1_gene879,Lsa1g0879|XP_042755895|(33190616-33194295),none,Mmi5g0273|KAD6118897.1|(21159730-21178640),Han2g0351|XP_035835493|(18759379-18769915),Han4g0628|XP_022033977|(23812804-23824093),none,Sre9g2160|Streb.9G021600.1|(44433191-44438667),Cca4g0695|XP_024972827|(17122288-17128745),Cti6g2789|CtAH06T0278900.1|(84021043-84026853),Eca7g0396|XP_043635301|(4969112-4976541),Cso2g0286|KAJ9559882.1|(4018701-4018958)
Asterales_Lsa_chr1_gene880,Lsa1g0880|XP_023733583|(33194723-33197227),none,none,Han2g0352|XP_022012285|(18777847-18783751),none,none,Sre9g2161|Streb.9G021610.1|(44442631-44446693),Cca4g0694|XP_024973159|(17117230-17120909),Cti6g2790|CtAH06T0279000.1|(84028541-84034521),Eca7g0397|XP_043636600|(4976878-4981879),Cso2g0287|KAJ9559875.1|(4021440-4021589)
Asterales_Lsa_chr1_gene881,Lsa1g0881|XP_023733585|(33212648-33214472),Mmi18g2166|KAD2806060.1|(90876987-90880345),none,none,none,Sre2g5084|Streb.2G050840.1|(162752216-162755655),Sre9g2164|Streb.9G021640.1|(44773611-44781213),Cca4g0693|XP_024973158|(17115364-17117255),none,Eca7g0400|XP_043635967|(4991701-4993487),Cso2g0288|KAJ9559879.1|(4025403-4026896)
Asterales_Lsa_chr1_gene882,Lsa1g0882|XP_042755897|(33214515-33217637),Mmi12g1666|KAD4585613.1|(55947578-55952534),none,none,Han4g0629|XP_022033975|(23832772-23835976),none,none,none,none,Eca7g0402|XP_043637274|(5008501-5011926),none
Asterales_Lsa_chr1_gene883,Lsa1g0883|XP_023733584|(33265347-33267045),none,Mmi5g0262|KAD6118886.1|(19135444-19138804),Han2g0353|XP_022012298|(18808384-18811153),Han4g0630|XP_022033974|(23902984-23905392),none,Sre9g2162|Streb.9G021620.1|(44532550-44536356),Cca4g0692|XP_024972068|(17103238-17112019),Cti6g2791|CtAH06T0279100.1|(84053061-84065446),Eca7g0403|XP_043637824|(5014207-5015804),Cso2g0289|KAJ9559874.1|(4043980-4044891)
Asterales_Lsa_chr1_gene884,Lsa1g0884|XP_023733572|(33267871-33271542),none,Mmi5g0287|KAD6118911.1|(23070572-23072417),Han2g0359|XP_022012382|(19036321-19041522),none,none,Sre9g2163|Streb.9G021630.1|(44662563-44665618),Cca4g0689|XP_024972390|(17051555-17053352),Cti6g2796|CtAH06T0279600.1|(84158106-84160605),Eca7g0405|XP_043636783|(5041097-5044464),Cso2g0295|KAJ9559482.1|(4198238-4199140)
Asterales_Lsa_chr1_gene885,Lsa1g0885|XP_023749880|(33312902-33314126),Mmi18g2181|KAD2806075.1|(91194373-91195281),Mmi11g1199|KAD4889067.1|(38013240-38014184),none,Han4g0575|XP_022033174|(21256716-21258440),Sre2g5097|Streb.2G050970.1|(162911696-162912885),none,none,none,none,Cso2g0252|KAJ9559526.1|(3749484-3749588)
Asterales_Lsa_chr1_gene886,Lsa1g0886|XP_042755906|(33332934-33336132),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene887,Lsa1g0887|XP_042755940|(33336608-33344321),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene888,Lsa1g0888|XP_023771511|(33358128-33360327),Mmi12g1649|KAD4585596.1|(55187882-55189929),Mmi5g0239|KAD6118863.1|(15923612-15927833),Han2g0322|XP_022012161|(16602426-16610071),none,none,Sre9g2144|Streb.9G021440.1|(43938275-43940713),Cca4g0715|XP_024973414|(17312586-17317185),Cti6g2765|CtAH06T0276500.1|(83660354-83664912),Eca7g0358|XP_043636725|(4609228-4612030),Cso2g0251|KAJ9559529.1|(3738786-3738878)
Asterales_Lsa_chr1_gene889,Lsa1g0889|XP_023771510|(33361360-33364074),Mmi12g1648|KAD4585595.1|(55161094-55170171),none,none,Han4g0572|XP_022033933|(21174936-21181351),none,none,Cca4g0716|XP_024972503|(17319532-17325469),Cti6g2764|CtAH06T0276400.1|(83634036-83653500),Eca7g0356|XP_043636872|(4586982-4593194),none
Asterales_Lsa_chr1_gene890,Lsa1g0890|XP_023771509|(33364094-33366799),none,Mmi11g1215|KAD4889083.1|(38424155-38426829),none,none,Sre2g5101|Streb.2G051010.1|(162934311-162937863),none,Cca4g0717|XP_024972878|(17326962-17330312),Cti6g2763|CtAH06T0276300.1|(83624095-83628451),none,Cso2g0250|KAJ9559527.1|(3723120-3723324)
Asterales_Lsa_chr1_gene891,Lsa1g0891|XP_023771513|(33421185-33423147),Mmi18g2191|KAD2806085.1|(91448777-91457633),none,none,none,Sre2g5110|Streb.2G051100.1|(163012696-163015002),none,Cca4g0718|XP_024972789|(17336297-17342807),none,Eca7g0351|XP_043636038|(4521816-4525276),Cso1g4310|KAJ9568261.1|(107396354-107396436)
Asterales_Lsa_chr1_gene892,Lsa1g0892|XP_023771515|(33425997-33427576),Mmi18g2193|KAD2806087.1|(91483005-91485032),none,none,Han4g0567|XP_021972951|(20922389-20924457),Sre2g5112|Streb.2G051120.1|(163022217-163023959),none,Cca4g0719|XP_024972415|(17344446-17347163),Cti6g2762|CtAH06T0276200.1|(83614843-83621111),Eca7g0350|XP_043635922|(4517340-4520061),Cso1g3880|KAJ9567721.1|(99125583-99125585)
Asterales_Lsa_chr1_gene893,Lsa1g0893|XP_042752224|(33430840-33442732),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene894,Lsa1g0894|XP_023771517|(33446591-33449431),none,Mmi5g0237|KAD6118861.1|(15614437-15616562),Han2g0321|XP_022012176|(16462834-16467149),none,none,Sre9g2142|Streb.9G021420.1|(43825239-43828137),Cca4g0720|XP_024973164|(17348278-17351959),Cti6g2761|CtAH06T0276100.1|(83585245-83613399),Eca7g0349|XP_043636853|(4511554-4514836),Cso2g0249|KAJ9559531.1|(3722360-3722489)
Asterales_Lsa_chr1_gene895,Lsa1g0895|XP_023771518|(33451075-33456487),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene896,Lsa1g0896|XP_023771519|(33500588-33502446),Mmi12g1647|KAD4585594.1|(54938138-54939565),none,Han2g0320|XP_022011990|(16408238-16410204),Han4g0563|XP_021972959|(20796810-20798554),none,Sre9g2141|Streb.9G021410.1|(43756241-43757734),Cca4g0721|XP_024973184|(17382096-17383717),none,Eca7g0346|XP_043637505|(4486987-4488704),Cso2g0248|KAJ9559525.1|(3695940-3697472)
Asterales_Lsa_chr1_gene897,Lsa1g0897|XP_023771520|(33551215-33553808),none,none,none,Han4g0559|XP_021972960|(20713139-20718039),none,none,Cca4g0722|XP_024973100|(17389855-17394779),Cti6g2760|CtAH06T0276000.1|(83561042-83581931),Eca7g0345|XP_043636393|(4470312-4474596),Cso2g0247|KAJ9559541.1|(3681259-3681366)
Asterales_Lsa_chr1_gene898,Lsa1g0898|XP_023771521|(33554710-33559300),Mmi18g2197|KAD2806091.1|(91570225-91585025),Mmi5g0234|KAD6118858.1|(15277592-15293479),Han2g0317|XP_022011975|(16268965-16280783),none,Sre2g5127|Streb.2G051270.1|(163278424-163282410),Sre9g2140|Streb.9G021400.1|(43723985-43730745),Cca4g0723|XP_024971828|(17396193-17406991),none,Eca7g0344|XP_043636009|(4461469-4467619),Cso1g4319|KAJ9568487.1|(107490533-107490602)
Asterales_Lsa_chr1_gene899,Lsa1g0899|XP_042755954|(33578380-33580705),none,Mmi5g0230|KAD6118854.1|(14234356-14237165),Han2g0304|XP_022011660|(15014537-15019506),none,none,Sre9g2139|Streb.9G021390.1|(43699473-43701893),Cca4g0724|XP_024972974|(17408556-17416444),Cti6g2759|CtAH06T0275900.1|(83551881-83558932),Eca7g0343|XP_043636936|(4454519-4458476),Cso2g0246|KAJ9559536.1|(3673530-3673823)
Asterales_Lsa_chr1_gene900,Lsa1g0900|XP_023771525|(33582708-33586021),none,Mmi5g0227|KAD6118851.1|(13671116-13684973),Han2g0303|XP_022011640|(14957897-14965291),none,none,Sre9g2138|Streb.9G021380.1|(43582060-43586661),Cca4g0725|XP_024972830|(17417629-17425759),Cti6g2758|CtAH06T0275800.1|(83538827-83549206),Eca7g0342|XP_043636934|(4439922-4448781),Cso2g0245|KAJ9559538.1|(3662961-3663266)
Asterales_Lsa_chr1_gene901,Lsa1g0901|XP_023771526|(33602346-33603998),Mmi18g2198|KAD2806092.1|(91637675-91638957),none,none,none,Sre2g5129|Streb.2G051290.1|(163292574-163294416),none,Cca4g0726|XP_024973071|(17438402-17440136),Cti6g2757|CtAH06T0275700.1|(83519421-83524203),none,Cso2g0244|KAJ9559537.1|(3652346-3652494)
